round,train_acc,val_acc
1,7.6000,10.0000
2,7.6000,10.0000
3,7.6000,10.0000
4,7.6000,10.0000
5,7.6000,10.0000
6,7.6000,10.0000
7,11.4000,10.0000
8,7.6000,10.0000
9,7.6000,10.0000
10,7.6000,10.0000
11,7.6000,10.0000
12,7.6000,10.0000
13,11.0000,10.0000
14,11.0000,10.0000
15,11.4000,10.0000
16,11.4000,10.0000
17,9.8000,10.0000
18,9.8000,10.0000
19,9.8000,10.0000
20,9.8000,10.0000
21,9.8000,10.0000
22,9.8000,10.0000
23,7.6000,10.0000
24,11.0000,10.0000
25,11.0000,10.0000
26,11.0000,10.0000
27,11.0000,10.0000
28,13.2000,10.0000
29,13.2000,10.0000
30,10.2000,10.0000
31,9.8000,10.0000
32,10.2000,10.0000
33,7.6000,10.0000
34,11.4000,10.0000
35,11.4000,10.0000
36,11.4000,10.0000
37,7.6000,10.0000
38,13.2000,10.0000
39,13.2000,10.0000
40,13.2000,10.0000
41,7.6000,10.0000
42,8.0000,10.0000
43,7.6000,10.0000
44,7.6000,10.0000
45,8.0000,10.0000
46,8.0000,10.0000
47,11.4000,10.0000
48,11.4000,10.0000
49,7.6000,10.0000
50,10.2000,10.0000
51,10.2000,10.0000
52,7.6000,10.0000
53,7.6000,10.0000
54,7.6000,10.0000
55,7.6000,10.0000
56,7.6000,10.0000
57,7.6000,10.0000
58,7.6000,10.0000
59,7.6000,10.0000
60,11.0000,10.0000
61,11.4000,10.0000
62,7.6000,10.0000
63,7.6000,10.0000
64,7.6000,10.0000
65,11.4000,10.0000
66,7.6000,10.0000
67,7.6000,10.0000
68,7.6000,10.0000
69,13.2000,10.0000
70,9.8000,10.0000
71,9.8000,10.0000
72,9.8000,10.0000
73,7.6000,10.0000
74,7.6000,10.0000
75,7.6000,10.0000
76,7.6000,10.0000
77,7.6000,10.0000
78,9.8000,10.0000
79,7.6000,10.0000
80,7.6000,10.0000
81,9.8000,10.0000
82,9.8000,10.0000
83,11.4000,10.0000
84,11.4000,10.0000
85,9.8000,10.0000
86,9.8000,10.0000
87,9.8000,10.0000
88,8.0000,10.0000
89,9.8000,10.0000
90,11.4000,10.0000
91,11.4000,10.0000
92,11.0000,10.0000
93,11.4000,10.0000
94,8.0000,10.0000
95,8.0000,10.0000
96,11.4000,10.0000
97,11.4000,10.0000
98,10.2000,10.0000
99,9.8000,10.0000
100,9.8000,10.0000
